id,FRAUDE,VALOR,HORA_AUX,Dist_max_NAL,Canal1,FECHA,COD_PAIS,CANAL,DIASEM,DIAMES,FECHA_VIN,OFICINA_VIN,SEXO,SEGMENTO,EDAD,INGRESOS,EGRESOS,NROPAISES,Dist_Sum_INTER,Dist_Mean_INTER,Dist_Max_INTER,NROCIUDADES,Dist_Mean_NAL,Dist_HOY,Dist_sum_NAL
9000000001,1,0,13,659.13,ATM_INT,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,1200000,1200000,1,,,,6,474.94,4552.41,5224.36
9000000002,1,0,17,594.77,ATM_INT,20150515,US,ATM_INT,5,15,20050415,716,M,Personal Plus,29,5643700,500000,1,,,,5,289.99,4552.41,2029.9
9000000003,1,0,13,659.13,ATM_INT,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,1200000,1200000,1,,,,6,474.94,4552.41,5224.36
9000000004,1,0,13,659.13,ATM_INT,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,1200000,1200000,1,,,,6,474.94,4552.41,5224.36
9000000005,1,0,0,1,ATM_INT,20150510,CR,ATM_INT,0,10,20141009,788,M,Personal,25,0,0,1,,,,1,,1482.35,1
9000000006,1,0,13,1,ATM_INT,20150523,US,ATM_INT,6,23,20150220,547,M,Emprendedor,20,4000000,2500000,1,,,,1,,4552.41,1
9000000007,1,0,14,659.13,ATM_INT,20150526,CR,ATM_INT,2,26,20080409,210,M,Personal Plus,29,2100000,310000,2,8616.02,4308.01,4308.01,5,342.47,1482.35,2739.72
9000000008,1,0,18,733.11,ATM_INT,20150502,US,ATM_INT,6,2,20040520,454,F,Personal Plus,28,2000000,200000,1,,,,3,400.65,4552.41,2403.9
9000000009,0,0,16,1,ATM_INT,20150501,US,ATM_INT,5,1,20150110,297,M,Personal,21,500000,300000,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000010,1,0,15,461.26,ATM_INT,20150502,PA,ATM_INT,6,2,20090330,46,M,Personal Plus,28,4000000,1500000,1,,,,9,190.22,1043.91,2282.59
9000000011,1,0,18,238.34,ATM_INT,20150513,CR,ATM_INT,3,13,20100624,17,F,Personal Plus,26,1500000,1000000,3,16813.9,4203.47,4552.41,2,238.34,1482.35,476.68
9000000012,1,0,13,659.13,ATM_INT,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,1200000,1200000,1,,,,6,474.94,4552.41,5224.36
9000000013,0,0,22,339.58,ATM_INT,20150501,US,ATM_INT,5,1,20070629,710,F,Personal Plus,27,1200000,500000,1,,,,5,276.46,4552.41,5805.7
9000000014,1,0,23,1,ATM_INT,20150513,US,ATM_INT,3,13,20090723,4,F,Personal Plus,27,2200000,0,2,9104.82,4552.41,4552.41,1,,4552.41,1
9000000015,0,0,15,1,ATM_INT,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,800000,700000,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000016,0,0,19,61.45,ATM_INT,20150524,US,ATM_INT,0,24,20141203,571,F,Personal Plus,18,1000000,500000,1,,,,2,61.45,4552.41,184.34
9000000017,0,0,21,97.1,ATM_INT,20150521,FJ,ATM_INT,4,21,20130608,424,M,Personal,22,600000,200000,3,19781.13,9890.57,15228.72,3,57.26,20736.96,229.06
9000000018,0,0,16,1,ATM_INT,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,800000,700000,2,4552.41,4552.41,4552.41,1,,4552.41,1
9000000019,0,0,17,243.62,ATM_INT,20150525,US,ATM_INT,1,25,20070821,2,M,Emprendedor,24,1500000,2000000,1,,,,3,89.22,4552.41,535.3
9000000020,0,0,15,1,ATM_INT,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,800000,700000,2,4552.41,4552.41,4552.41,1,,4552.41,1
